,no.peserta,kode.pendidikan,twk.nilai,tiu.nilai,tkp.nilai,skd.nilai,skd.keterangan,kode.formasi,lokasi.formasi,nama.pendidikan,jk,kode.formasi_x,lokasi.formasi_x,kode.prodi_y,nama.prodi_y,no.ujian_x,psi.keterangan,mtk.nilai,mtk.keterangan,t2.keterangan,hasil.akhir_x
0,S2240160111102897,3000020,105,155,196,456,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1102897,P,110.0,P,P/L,Tidak Lulus
1,S2240160111208647,3000020,125,135,189,449,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1208647,P,65.0,P,P,
2,S2240160111204698,3001005,95,160,193,448,P/L,40160002,Aceh,SMA IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1204698,TL,95.0,P,TL,
3,S2240160121800331,3001005,110,140,196,446,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1800331,P,135.0,P,P/L,
4,S2240160123305159,3001005,95,150,199,444,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,3305159,P,150.0,P,P/L,Lulus
5,S2240160111205569,3000020,110,140,194,444,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1205569,P,115.0,P,P/L,Tidak Lulus
6,S2240160121210637,3001005,80,170,184,434,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1210637,P,125.0,P,P/L,Lulus
7,S2240160121103609,3001005,105,140,188,433,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1103609,TL,90.0,P,TL,
8,S2240160121210279,3000020,110,125,196,431,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1210279,P,70.0,P,P,
9,S2240160123200063,3001005,90,160,174,424,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,3200063,P,120.0,P,P/L,Lulus
10,S2240160121201444,3001005,95,140,187,422,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1201444,P,130.0,P,P/L,Lulus
11,S2240160111210372,3000020,85,155,182,422,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1210372,P,40.0,TL,TL,
12,S2240160113509573,3001005,90,155,177,422,P/L,40160002,Aceh,SMA IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,3509573,P,70.0,P,P,
13,S2240160111101254,3001005,85,145,190,420,P/L,40160002,Aceh,SMA IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1101254,P,65.0,P,P,
14,S2240160121203631,3000020,90,140,185,415,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1203631,P,50.0,TL,TL,
15,S2240160111104512,3001005,90,145,180,415,P/L,40160002,Aceh,SMA IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1104512,TL,80.0,P,TL,
16,S2240160121211317,3001005,85,150,179,414,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1211317,P,105.0,P,P,
17,S2240160111103267,3000020,115,105,193,413,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1103267,P,95.0,P,P,
18,S2240160121203314,3000020,90,135,187,412,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1203314,P,110.0,P,P/L,Lulus
19,S2240160121104668,3001005,90,120,196,406,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1104668,P,105.0,P,P,
20,S2240160111104727,3001005,95,120,189,404,P/L,40160002,Aceh,SMA IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1104727,P,110.0,P,P/L,Tidak Lulus
21,S2240160121204191,3000020,95,130,178,403,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1204191,P,65.0,P,P,
22,S2240160111208186,3000020,95,130,176,401,P/L,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1208186,P,65.0,P,P,
23,S2240160121600872,3001005,105,130,165,400,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1600872,P,75.0,P,P,
24,S2240160121303667,3001005,100,105,194,399,P/L,40160002,Aceh,SMA IPA,Pr,40160002,PROVINSI ACEH,4412070,D-III STATISTIKA,1303667,TL,50.0,TL,TL,
25,S2240160121104611,3000020,75,140,181,396,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
26,S2240160121203978,3001005,70,135,190,395,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
27,S2240160121302628,3000020,85,125,185,395,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
28,S2240160121800300,3001005,75,140,180,395,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
29,S2240160121102071,3000020,95,125,175,395,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
30,S2240160121104587,3001005,95,110,189,394,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
31,S2240160121219166,3001005,85,125,183,393,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
32,S2240160123317198,3001005,100,110,183,393,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
33,S2240160111605103,3000020,80,140,173,393,P,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
34,S2240160121212424,3001005,65,140,187,392,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
35,S2240160121211151,3000020,95,125,171,391,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
36,S2240160121305960,3001005,75,120,194,389,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
37,S2240160111210396,3000020,70,140,179,389,P,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
38,S2240160123312595,3000020,100,130,158,388,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
39,S2240160111101803,3001005,85,130,171,386,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
40,S2240160111207374,3001005,80,115,189,384,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
41,S2240160123207585,3004002,75,130,179,384,P,40160002,Aceh,SMA IPS,Pr,,,,,,,,,,
42,S2240160121104910,3001005,85,120,177,382,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
43,S2240160111402278,3001005,90,125,167,382,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
44,S2240160121102840,3001005,90,110,180,380,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
45,S2240160121203338,3001005,75,115,187,377,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
46,S2240160121100336,3000020,90,110,177,377,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
47,S2240160113212431,3001005,70,140,167,377,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
48,S2240160121104921,3001005,70,125,181,376,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
49,S2240160123302107,3000020,70,110,190,370,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
50,S2240160121101115,3001005,90,95,185,370,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
51,S2240160121204139,3000020,75,125,169,369,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
52,S2240160123301364,3001005,65,115,184,364,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
53,S2240160121211261,3001005,70,125,166,361,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
54,S2240160121102987,3000020,70,105,181,356,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
55,S2240160121104000,3000020,75,90,188,353,P,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
56,S2240160121104802,3171110,75,100,178,353,P,40160002,Aceh,SMK TEKNOLOGI INFORMASI DAN KOMUNIKASI,Pr,,,,,,,,,,
57,S2240160121804157,3001005,95,85,173,353,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
58,S2240160113600740,3001005,100,80,173,353,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
59,S2240160123106192,3001005,80,105,166,351,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
60,S2240160111102699,3001005,75,90,181,346,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
61,S2240160111201729,3000020,90,80,175,345,P,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
62,S2240160111101821,3000020,70,105,169,344,P,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
63,S2240160121104406,3001005,85,80,175,340,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
64,S2240160121210804,3001005,80,90,169,339,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
65,S2240160111101605,3004002,80,90,166,336,P,40160002,Aceh,SMA IPS,Lk,,,,,,,,,,
66,S2240160121219203,3001005,65,90,178,333,P,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
67,S2240160111101904,3000021,70,80,182,332,P,40160002,Aceh,MADRASAH ALIYAH IPS,Lk,,,,,,,,,,
68,S2240160111103102,3001005,75,80,177,332,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
69,S2240160111104064,3001005,65,80,160,305,P,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
70,S2240160111700211,3001005,55,135,175,365,TL,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
71,S2240160121101177,3001005,60,120,180,360,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
72,S2240160111100813,3000020,55,110,188,353,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
73,S2240160121215571,3001005,95,75,181,351,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
74,S2240160121104574,3001005,80,75,185,340,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
75,S2240160121203844,3001005,55,105,175,335,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
76,S2240160121102561,3000020,55,95,183,333,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
77,S2240160113213122,3001005,55,85,186,326,TL,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
78,S2240160121102804,3000020,85,70,167,322,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
79,S2240160121103555,3000020,60,80,178,318,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
80,S2240160121104079,3001005,80,75,159,314,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
81,S2240160123308990,3001005,85,85,143,313,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
82,S2240160121103977,3001005,70,75,167,312,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
83,S2240160111103036,3001005,70,75,166,311,TL,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
84,S2240160121204940,3000020,55,75,180,310,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
85,S2240160121102507,3000020,85,60,161,306,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
86,S2240160121100721,3001005,80,45,180,305,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
87,S2240160121208519,3001005,60,80,164,304,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
88,S2240160111216419,3000020,60,75,162,297,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
89,S2240160121213874,3001005,85,50,161,296,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
90,S2240160111101191,3001005,70,70,155,295,TL,40160002,Aceh,SMA IPA,Lk,,,,,,,,,,
91,S2240160121102334,3001005,70,55,167,292,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
92,S2240160121102321,3001005,40,75,175,290,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
93,S2240160111206290,3000020,45,80,165,290,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
94,S2240160121102358,3001005,65,55,169,289,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
95,S2240160121104754,3001005,45,55,185,285,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
96,S2240160121100749,3001005,50,65,164,279,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
97,S2240160121103195,3000020,70,45,163,278,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
98,S2240160121104028,3004002,50,50,170,270,TL,40160002,Aceh,SMA IPS,Pr,,,,,,,,,,
99,S2240160111212659,3004002,45,60,163,268,TL,40160002,Aceh,SMA IPS,Lk,,,,,,,,,,
100,S2240160121212017,3000021,80,45,142,267,TL,40160002,Aceh,MADRASAH ALIYAH IPS,Pr,,,,,,,,,,
101,S2240160121100022,3001005,60,45,160,265,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
102,S2240160121104622,3001005,50,90,124,264,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
103,S2240160121100170,3001005,60,45,157,262,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
104,S2240160123310160,3001005,90,40,132,262,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
105,S2240160111104972,3000020,45,40,176,261,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
106,S2240160121102637,3001005,50,40,154,244,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
107,S2240160111101698,3000020,55,45,144,244,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
108,S2240160123515882,3001005,45,35,159,239,TL,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
109,S2240160121104031,3000020,55,55,124,234,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
110,S2240160121201732,3000020,50,30,152,232,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
111,S2240160121103360,3000020,50,40,142,232,TL,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
112,S2240160111103944,3000020,0,0,0,0,TH,40160002,Aceh,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
113,S2240160121102859,3001005,0,0,0,0,TH,40160002,Aceh,SMA IPA,Pr,,,,,,,,,,
114,S2240160121104301,3000020,0,0,0,0,TH,40160002,Aceh,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
115,S2240160121201020,3001005,100,165,192,457,P/L,40160003,Sumatera Utara,SMA IPA,Pr,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1201020,P,150.0,P,P/L,Lulus
116,S2240160111217108,3001005,110,130,200,440,P/L,40160003,Sumatera Utara,SMA IPA,Lk,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1217108,TH,0.0,TH,TL,
117,S2240160111210444,3001005,110,150,180,440,P/L,40160003,Sumatera Utara,SMA IPA,Lk,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1210444,TH,0.0,TH,TL,
118,S2240160121202386,3001005,115,150,175,440,P/L,40160003,Sumatera Utara,SMA IPA,Pr,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1202386,TL,100.0,P,TL,
119,S2240160121207350,3004002,90,155,190,435,P/L,40160003,Sumatera Utara,SMA IPS,Pr,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1207350,P,70.0,P,P,
120,S2240160111200797,3001005,95,145,191,431,P/L,40160003,Sumatera Utara,SMA IPA,Lk,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1200797,P,105.0,P,P/L,Lulus
121,S2240160121101032,3001005,95,135,197,427,P/L,40160003,Sumatera Utara,SMA IPA,Pr,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1101032,P,95.0,P,P,
122,S2240160121202676,3001005,100,140,187,427,P/L,40160003,Sumatera Utara,SMA IPA,Pr,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1202676,P,110.0,P,P/L,Lulus
123,S2240160121209150,3001005,90,150,186,426,P/L,40160003,Sumatera Utara,SMA IPA,Pr,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1209150,P,100.0,P,P,
124,S2240160111203037,3001005,100,130,195,425,P/L,40160003,Sumatera Utara,SMA IPA,Lk,40160003,PROVINSI SUMATERA UTARA,4412070,D-III STATISTIKA,1203037,TL,125.0,P,TL,
125,S2240160113209987,3001005,95,145,185,425,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
126,S2240160121211559,3001005,100,135,189,424,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
127,S2240160111202836,3001005,105,135,182,422,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
128,S2240160121218554,3001005,90,155,174,419,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
129,S2240160111310456,3001005,95,140,182,417,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
130,S2240160121209392,3001005,95,130,189,414,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
131,S2240160121208775,3000020,85,155,172,412,P,40160003,Sumatera Utara,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
132,S2240160121215854,3001005,100,120,190,410,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
133,S2240160121404276,3001005,90,135,181,406,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
134,S2240160111209585,3001005,75,150,177,402,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
135,S2240160111209378,3001005,90,140,172,402,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
136,S2240160111216273,3001005,85,130,185,400,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
137,S2240160121215076,3000020,100,115,185,400,P,40160003,Sumatera Utara,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
138,S2240160121210840,3001005,95,140,165,400,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
139,S2240160111200582,3001005,100,125,174,399,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
140,S2240160111211777,3001005,100,110,188,398,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
141,S2240160121212406,3001005,90,125,183,398,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
142,S2240160121206535,3001005,70,125,202,397,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
143,S2240160121219418,3001005,90,130,177,397,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
144,S2240160121217357,3001005,75,120,200,395,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
145,S2240160121217623,3001005,95,110,190,395,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
146,S2240160121219041,3001005,80,130,185,395,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
147,S2240160111208946,3001005,95,105,194,394,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
148,S2240160111204636,3001005,85,135,174,394,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
149,S2240160121202625,3001005,80,125,188,393,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
150,S2240160121219306,3001005,85,125,183,393,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
151,S2240160111203307,3001005,85,125,181,391,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
152,S2240160121216741,3001005,90,115,184,389,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
153,S2240160121217858,3001005,100,105,184,389,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
154,S2240160111213256,3001005,65,135,188,388,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
155,S2240160111200908,3001005,85,120,183,388,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
156,S2240160111212574,3001005,100,110,177,387,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
157,S2240160121218721,3001005,80,130,176,386,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
158,S2240160111211708,3001005,115,100,171,386,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
159,S2240160121215917,3001005,90,120,172,382,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
160,S2240160121208737,3001005,70,155,156,381,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
161,S2240160111209657,3001005,90,95,195,380,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
162,S2240160111206151,3001005,80,110,188,378,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
163,S2240160121209260,3001005,85,110,182,377,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
164,S2240160121214330,3001005,75,115,186,376,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
165,S2240160111208403,3001005,85,100,190,375,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
166,S2240160121210491,3001005,75,115,184,374,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
167,S2240160121212686,3001005,75,115,182,372,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
168,S2240160121205792,3001005,70,120,181,371,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
169,S2240160111204461,3001005,80,120,171,371,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
170,S2240160121218118,3000020,95,110,166,371,P,40160003,Sumatera Utara,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
171,S2240160111201181,3001005,85,100,185,370,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
172,S2240160121211106,3001005,90,95,185,370,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
173,S2240160121204018,3001005,70,120,178,368,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
174,S2240160121219221,3001005,80,110,177,367,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
175,S2240160121210415,3001005,100,110,157,367,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
176,S2240160121201334,3001005,70,115,178,363,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
177,S2240160121204641,3001005,80,110,173,363,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
178,S2240160111219616,3001005,90,105,168,363,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
179,S2240160121217755,3001005,90,80,190,360,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
180,S2240160121219157,3001005,65,110,182,357,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
181,S2240160121213999,3001005,70,110,177,357,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
182,S2240160121210057,3000021,90,95,171,356,P,40160003,Sumatera Utara,MADRASAH ALIYAH IPS,Pr,,,,,,,,,,
183,S2240160121217513,3000020,75,100,180,355,P,40160003,Sumatera Utara,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
184,S2240160121201200,3001005,70,95,189,354,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
185,S2240160121202311,3001005,65,130,159,354,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
186,S2240160121205301,3001005,75,90,186,351,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
187,S2240160121214503,3001005,65,105,181,351,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
188,S2240160121211027,3004002,90,85,176,351,P,40160003,Sumatera Utara,SMA IPS,Pr,,,,,,,,,,
189,S2240160121202607,3001005,90,100,159,349,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
190,S2240160111205152,3001005,70,110,168,348,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
191,S2240160121212499,3000020,80,85,182,347,P,40160003,Sumatera Utara,MADRASAH ALIYAH IPA,Pr,,,,,,,,,,
192,S2240160121211405,3001005,75,100,172,347,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
193,S2240160121218398,3001005,75,100,169,344,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
194,S2240160111200825,3001005,70,95,178,343,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
195,S2240160111210334,3001005,75,105,163,343,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
196,S2240160121215449,3001005,80,85,177,342,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
197,S2240160121216149,3001005,80,85,175,340,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
198,S2240160121203532,3001005,80,90,170,340,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
199,S2240160111215788,3001005,90,80,170,340,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
200,S2240160121208979,3001005,65,95,176,336,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
201,S2240160121212394,3001005,85,85,164,334,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
202,S2240160111209743,3000020,70,80,177,327,P,40160003,Sumatera Utara,MADRASAH ALIYAH IPA,Lk,,,,,,,,,,
203,S2240160121201675,3001005,80,80,166,326,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
204,S2240160111208993,3001005,65,85,173,323,P,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
205,S2240160121216484,3001005,70,80,166,316,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
206,S2240160121212370,3001005,65,90,159,314,P,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
207,S2240160121217779,3004002,75,80,159,314,P,40160003,Sumatera Utara,SMA IPS,Pr,,,,,,,,,,
208,S2240160111209970,3001005,110,145,153,408,TL,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
209,S2240160111202719,3001005,55,170,172,397,TL,40160003,Sumatera Utara,SMA IPA,Lk,,,,,,,,,,
210,S2240160121211649,3001005,70,150,154,374,TL,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
211,S2240160121205383,3001005,60,130,180,370,TL,40160003,Sumatera Utara,SMA IPA,Pr,,,,,,,,,,
